condition,dataset,delta,metric,note,relative_delta_percent,severity,task80_value,task80a_value
DFlash-R1,gsm8k_short,0.0,avg_t_compress_ms,,,ok,0.0,0.0
DFlash-R1,gsm8k_short,0.0,compression_ratio,,,ok,0.0,0.0
DFlash-R1,gsm8k_short,0.0,cap_hit_count,,0.0,ok,1,1
LLMLingua-AR-R2,gsm8k_short,0.0,row_count,,0.0,ok,30,30
LLMLingua-AR-R2,gsm8k_short,0.0,numeric_match_count,,0.0,ok,24,24
LLMLingua-AR-R2,gsm8k_short,0.0,numeric_accuracy,,0.0,ok,0.8,0.8
LLMLingua-AR-R2,gsm8k_short,0.752218,avg_e2e_latency_s,,7.125115,ok,10.557275,11.309493
LLMLingua-AR-R2,gsm8k_short,-1.08866,e2e_tok_s,,-6.651205,ok,16.36786,15.2792
LLMLingua-AR-R2,gsm8k_short,79.930717,avg_t_compress_ms,,9.584143,ok,833.989219,913.919936
LLMLingua-AR-R2,gsm8k_short,0.0,compression_ratio,,0.0,ok,2.666667,2.666667
LLMLingua-AR-R2,gsm8k_short,0.0,cap_hit_count,,0.0,ok,3,3
Baseline-AR,qmsum_meeting_qa_long,0.0,row_count,,0.0,ok,30,30
Baseline-AR,qmsum_meeting_qa_long,0.027206,avg_overlap_proxy,,11.678249,ok,0.232963,0.260169
Baseline-AR,qmsum_meeting_qa_long,3.56785,avg_e2e_latency_s,Timing shifted by at least 50%; likely runtime noise or backend variance.,83.666709,watch,4.264360170966666,7.83221
Baseline-AR,qmsum_meeting_qa_long,-2.047091,e2e_tok_s,,-14.163654,ok,14.4531256419089,12.406035
Baseline-AR,qmsum_meeting_qa_long,0.0,avg_t_compress_ms,,,ok,0.0,0.0
Baseline-AR,qmsum_meeting_qa_long,0.0,compression_ratio,,,ok,0.0,0.0
Baseline-AR,qmsum_meeting_qa_long,0.0,cap_hit_count,,,ok,0,0
CC-DFlash-R2,qmsum_meeting_qa_long,-30.0,row_count,Incomplete or changed row count versus Task 80 reference.,-100.0,major_shift,30,0
CC-DFlash-R2,qmsum_meeting_qa_long,-0.357483,avg_overlap_proxy,,-100.0,ok,0.357483,0.0
CC-DFlash-R2,qmsum_meeting_qa_long,-19.055571,avg_e2e_latency_s,Timing shifted by at least 50%; likely runtime noise or backend variance.,-100.0,watch,19.055571154599907,0.0
CC-DFlash-R2,qmsum_meeting_qa_long,-18.122434,e2e_tok_s,Timing shifted by at least 50%; likely runtime noise or backend variance.,-100.0,watch,18.12243414440883,0.0
CC-DFlash-R2,qmsum_meeting_qa_long,-5928.327985,avg_t_compress_ms,,-100.0,ok,5928.327985099986,0.0
CC-DFlash-R2,qmsum_meeting_qa_long,-2.06692,compression_ratio,,-100.0,ok,2.0669195124717197,0.0
CC-DFlash-R2,qmsum_meeting_qa_long,-21.0,cap_hit_count,,-100.0,ok,21,0
DFlash-R1,qmsum_meeting_qa_long,-28.0,row_count,Incomplete or changed row count versus Task 80 reference.,-93.333333,major_shift,30,2
DFlash-R1,qmsum_meeting_qa_long,0.201517,avg_overlap_proxy,,86.229295,ok,0.233699,0.435216
DFlash-R1,qmsum_meeting_qa_long,5.853736,avg_e2e_latency_s,Timing shifted by at least 50%; likely runtime noise or backend variance.,189.023765,watch,3.0968252747666307,8.950561
DFlash-R1,qmsum_meeting_qa_long,-7.972615,e2e_tok_s,,-40.80958,ok,19.53613608522332,11.563521
DFlash-R1,qmsum_meeting_qa_long,0.0,avg_t_compress_ms,,,ok,0.0,0.0
DFlash-R1,qmsum_meeting_qa_long,0.0,compression_ratio,,,ok,0.0,0.0
DFlash-R1,qmsum_meeting_qa_long,0.0,cap_hit_count,,,ok,0,0
LLMLingua-AR-R2,qmsum_meeting_qa_long,-30.0,row_count,Incomplete or changed row count versus Task 80 reference.,-100.0,major_shift,30,0
LLMLingua-AR-R2,qmsum_meeting_qa_long,-0.358644,avg_overlap_proxy,,-100.0,ok,0.358644,0.0
LLMLingua-AR-R2,qmsum_meeting_qa_long,-26.378387,avg_e2e_latency_s,Timing shifted by at least 50%; likely runtime noise or backend variance.,-100.0,watch,26.378386660533366,0.0
LLMLingua-AR-R2,qmsum_meeting_qa_long,-13.212837,e2e_tok_s,Timing shifted by at least 50%; likely runtime noise or backend variance.,-100.0,watch,13.212837381552207,0.0
LLMLingua-AR-R2,qmsum_meeting_qa_long,-5576.03614,avg_t_compress_ms,,-100.0,ok,5576.036139900028,0.0
LLMLingua-AR-R2,qmsum_meeting_qa_long,-2.06692,compression_ratio,,-100.0,ok,2.0669195124717197,0.0
LLMLingua-AR-R2,qmsum_meeting_qa_long,-22.0,cap_hit_count,,-100.0,ok,22,0
